id_noticia,fuente,url,categoria_busqueda
N040,BioBioChile,https://www.biobiochile.cl/noticias/nacional/region-de-coquimbo/2026/04/17/detienen-a-hombre-tras-homicidio-en-plena-via-publica-de-la-serena-victima-tenia-27-anos.shtml,homicidio
N041,BioBioChile,https://www.biobiochile.cl/noticias/nacional/region-de-coquimbo/2026/02/26/municipalidad-de-la-serena-pide-cerrar-conocido-pub-del-casco-historico-tras-homicidio.shtml,homicidio
N042,BioBioChile,https://www.biobiochile.cl/noticias/nacional/region-de-coquimbo/2026/02/12/detienen-a-tres-colombianos-acusados-de-homicidio-en-un-local-nocturno-en-el-centro-de-la-serena.shtml,homicidio
N043,BioBioChile,https://www.biobiochile.cl/noticias/nacional/region-de-coquimbo/2025/10/17/condenan-a-ciudadano-venezolano-por-el-homicidio-del-medico-nicolas-pinochet-en-la-serena.shtml,homicidio
N044,BioBioChile,https://www.biobiochile.cl/noticias/nacional/region-de-coquimbo/2025/07/29/tribunal-acredita-femicidio-en-asesinato-de-joven-de-17-anos-en-ovalle-su-pareja-le-disparo.shtml,femicidio
N045,DiarioLaRegion,https://www.diariolaregion.cl/carabineros-detuvo-a-mujer-por-homicidio-frustrado-en-pleno-centro-de-la-serena/,homicidio
N046,DiarioLaRegion,https://www.diariolaregion.cl/seremi-de-seguridad-maria-jose-duarte-tras-homicidio-en-coquimbo-son-hechos-graves-y-no-los-vamos-a-relativizar/,homicidio
N047,DiarioLaRegion,https://www.diariolaregion.cl/tripulante-boliviano-aparecio-muerto-dentro-de-una-lancha/,homicidio
N048,MiRadio,https://www.miradiols.cl/2026/09/11/mas-de-20-homicidios-la-serena-coquimbo-2026/,homicidio
N049,MiRadio,https://www.miradiols.cl/2026/08/22/hombre-de-85-anos-fue-asesinado-en-salamanca-pdi-detiene-a-mujer-que-habria-confesado-el-crimen/,homicidio
N050,MiRadio,https://www.miradiols.cl/2026/08/25/robo-con-homicidio-salamanca-imputada-adulto-mayor/,homicidio
N051,MiRadio,https://www.miradiols.cl/2025/01/24/asesinato-en-ruta-de-ovalle-interceptan-vehiculo-y-disparan-contra-copiloto/,homicidio
N052,ElSalamanquino,https://www.elsalamanquino.cl/2026/08/25/en-salamanca-amplian-detencion-de-mujer-que-sera-formalizada-por-homicidio-de-un-adulto-mayor/,homicidio
